percentage,sd,prov_identifier,label
11.17418104,4.566253742,prov10,EA QUEPET Alberto et al 2011 Garden V
12.15281986,4.566253742,prov10,EA QUEPET Alberto et al 2011 Garden U
12.9327022,5.402322529,prov37,NA ALNURU Hamann et al. 1998
12.9327022,5.402322529,prov37,NA ALNURU Hamann et al. 1998
14.97428832,4.509393293,prov8,EA QUEPET Alberto et al 2011 Garden V
15.431941,5.107224211,prov64,NG PICEEN Rehfeldt 1994
15.431941,5.107224211,prov64,NG PICEEN Rehfeldt 1994
16.25659635,4.509393293,prov8,EA QUEPET Alberto et al 2011 Garden U
16.53210621,5.009904641,prov9,NG PINUAL Bower and Aitken 2008
16.53210621,5.009904641,prov9,NG PINUAL Bower and Aitken 2008
16.59554304,5.243393707,prov16,NA BETUPA Hawkins & Dhar 2012
16.59554304,5.243393707,prov16,NA BETUPA Hawkins & Dhar 2012
17.35161028,5.525574866,prov11,NG PINUAL Bower and Aitken 2008
17.35161028,5.525574866,prov11,NG PINUAL Bower and Aitken 2008
18.08314263,4.375312526,prov5,EA QUEPET Alberto et al 2011 Garden V
18.97090421,5.722264801,prov12,NG PINUAL Bower and Aitken 2008
18.97090421,5.722264801,prov12,NG PINUAL Bower and Aitken 2008
19.45332099,5.14445785,prov3,NG PINUAL Bower and Aitken 2008
19.45332099,5.14445785,prov3,NG PINUAL Bower and Aitken 2008
19.69484956,4.375312526,prov5,EA QUEPET Alberto et al 2011 Garden U
19.93313551,4.966142536,prov17,NG PINUAL Bower and Aitken 2008
19.93313551,4.966142536,prov17,NG PINUAL Bower and Aitken 2008
20.02244587,5.153854195,prov22,NG PINUAL Bower and Aitken 2008
20.02244587,5.153854195,prov22,NG PINUAL Bower and Aitken 2008
20.15027915,5.605682415,prov13,NG PINUAL Bower and Aitken 2008
20.15027915,5.605682415,prov13,NG PINUAL Bower and Aitken 2008
20.29970264,4.787741406,prov77,NA POPUTR McKown et al. 2013
20.29970264,4.787741406,prov77,NA POPUTR McKown et al. 2013
20.68887108,4.64602116,prov21,NG PINUAL Bower and Aitken 2008
20.68887108,4.64602116,prov21,NG PINUAL Bower and Aitken 2008
21.49409143,4.224282744,prov16,NG PSEUME White et al. 1979
21.49409143,4.224282744,prov16,NG PSEUME White et al. 1979
21.67441499,5.098567102,prov18,NG PINUAL Bower and Aitken 2008
21.67441499,5.098567102,prov18,NG PINUAL Bower and Aitken 2008
22.11974401,4.943862633,prov67,NG PICEEN Rehfeldt 1994
22.11974401,4.943862633,prov67,NG PICEEN Rehfeldt 1994
22.44192881,5.420152504,prov6,NG PINUAL Bower and Aitken 2008
22.44192881,5.420152504,prov6,NG PINUAL Bower and Aitken 2008
22.56653452,5.499894969,prov24,NG PINUAL Bower and Aitken 2008
22.56653452,5.499894969,prov24,NG PINUAL Bower and Aitken 2008
22.96183666,4.738778634,prov4,NG PINUAL Bower and Aitken 2008
22.96183666,4.738778634,prov4,NG PINUAL Bower and Aitken 2008
