lat,long,year,doy,temp,date,month,identifier,label,status
44.9466,-91.3956,2011,1,-12.97,2011-01-01,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,2,-13.94,2011-01-02,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,3,-11.51,2011-01-03,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,4,-14.39,2011-01-04,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,5,-14.57,2011-01-05,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,6,-12.775,2011-01-06,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,7,-12.915,2011-01-07,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,8,-14.775,2011-01-08,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,9,-17.27,2011-01-09,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,10,-13.675,2011-01-10,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,11,-8.255,2011-01-11,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,12,-6.225,2011-01-12,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,13,-12.11,2011-01-13,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,14,-10.325,2011-01-14,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,15,-11.255,2011-01-15,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,16,-14.855,2011-01-16,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,17,-10,2011-01-17,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,18,-10.04,2011-01-18,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,19,-12.345,2011-01-19,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,20,-18.025,2011-01-20,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,21,-24,2011-01-21,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,22,-21.635,2011-01-22,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,23,-19.175,2011-01-23,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,24,-13.115,2011-01-24,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,25,-7.28,2011-01-25,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,26,-7.59,2011-01-26,1,prov1,NA POPUBA Farmer 1993,provenance
44.9466,-91.3956,2011,27,-6.305,2011-01-27,1,prov1,NA POPUBA Farmer 1993,provenance
